endpoint,endpoint_url,Assistant Name,Country,auth_required,is_active,has_leaked_creds,asn,asn_name,org,first_seen,last_seen,asi_has_breach,asi_has_threat_actor,asi_threat_actors,asi_cves,asi_enriched_at,asi_domains,page,row_index
136.118.191.•••:18789,http://136.118.191.xxx:18789,-,🇺🇸United States,Yes,true,Clean,AS396982,Google LLC,Google,"10/02/2026, 08:11:03","04/03/2026, 00:33:57",No,No,-,-,"04/02/2026, 14:04:51",-,1,1
101.47.158.•••:18789,http://101.47.158.xxx:18789,-,🇸🇬Singapore,Yes,true,Leaked,AS150436,Byteplus Pte. Ltd.,Byteplus,"03/03/2026, 16:51:56","04/03/2026, 00:33:57",Yes,-,-,-,"03/03/2026, 16:53:34",bytedance.com,1,2
